TRI.STA,,,BAY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-54-13.523,122-13-11.647,,,,,,,,,,,,,,
TRI.STA,,,BEACH,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-04-44.028,122-33-42.495,,,,,,,,,,,,,,
TRI.STA,,,BEACH,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-20-02.330,124-05-56.208,,,,,,,,,,,,,,
TRI.STA,,,BIANSA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-29-03.762,123-01-28.942,,,,,,,,,,,,,,
TRI.STA,,,BIASONG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-44-55.231,122-07-14.922,,,,,,,,,,,,,,
TRI.STA,,,BIG,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-27-59.534,124-08-27.889,,,,,,,,,,,,,,
TRI.STA,,,BINACA,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-51-02.031,124-0057.952,,,,,,,,,,,,,,
TRI.STA,,,BINADAYAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-47-56.836,124-10-17.330,,,,,,,,,,,,,,
KC,75,,BINOLIGAN KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-02-38.3680,125-00-19.5655,780634.6415,464110.1692,778835.2271,500600.4466,,,ESTABLISHED BY FNSP-K,,,,,,,"NOTE: FOR BLLM #69,PLS-360 KABACAN,NO.COTABATO SEE CERTIFICATIONS) LETTER FURNISHED BY DENR-RTD,REG12 KORONADAL CITY AND FILED ON 10/5/2004"
KC,76,,BINOLIGAN KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-02-39.0897,125-00-14.9134,780634.6415,464110.1692,778879.5089,500457.6769,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,57,,BIRADA KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-02-22.0502,125-07-38.9478,,,778335.9218,514084.8262,,,ESTABLISHED BY FNSP-K,,,,,,,
KC,58,,BIRADA KIDAPAWAN CITY,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-02-24.5192,125-07-39.2429,,,778411.7625,514093.8569,,,ESTABLISHED BY FNSP-K,,,,,,,
TRI.STA,,,BLUFF,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,8-03-23.102,122-24-53.404,,,,,,,,,,,,,,
TRI.STA,,,BON,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-22-38.022,124-04-33.757,,,,,,,,,,,,,,
TRI.STA,,,BOTOT,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-21-35.001,122-01-45.898,,,,,,,,,,,,,,
TRI.STA,,,BUFORD,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,7-30-26.584,124-02-16.072,,,,,,,,,,,,,,
BBM,1,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-34-12.95,124-48-16.76,22548.64,21712.7,,,,,,,,,,,,
BBM,1,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,22548.64,21712.2,,,,,,,,,,,,
BBM,2,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,21226.61,23254.22,,,,,,,,,,,,
BBM,2,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,21226.61,23254.22,,,,,,,,,,,,
BBM,3,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,18925.52,21283.59,,,,,,,,,,,,
BBM,3,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,18925.52,21283.1,,,,,,,,,,,,
BBM,4,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,16570.51,19284.59,,,,,,,,,,,,
BBM,4,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,16570.51,19284.59,,,,,,,,,,,,
BBM,5,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19828.11,16736.04,,,,,,,,,,,,
BBM,6,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,21557.58,18211.81,,,,,,,,,,,,
BBM,7,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23855.61,20188.99,,,,,,,,,,,,
BBM,8,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26003.46,24687,,,,,,,,,,,,
BBM,9,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24847.05,23686.27,,,,,,,,,,,,
BBM,10,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23524.55,25226.57,,,,,,,,,,,,
BBM,11,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,22208.48,26773.43,,,,,,,,,,,,
BBM,12,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24504.69,28761.46,,,,,,,,,,,,
BBM,13,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26798.96,30742.37,,,,,,,,,,,,
BBM,14,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,27724.68,31536.67,,,,,,,,,,,,
BBM,15,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,28424.08,28856.35,,,,,,,,,,,,
