BLLM,1,Balut- (Dist.),BALUT,LANAO DEL NORTE,X,8/6/1930,,20000,20000,,,,,
BLLM,2,Balut- (Dist.),BALUT,LANAO DEL NORTE,X,,,19812.62,20058.18,,,,,
BLLM,1,Bubung (Dist.),BUBUNG,LANAO DEL NORTE,X,7-58-55,,20000,20000,,,,,
BLLM,2,Bubung (Dist.),BUBUNG,LANAO DEL NORTE,X,,,20278.02,19958.87,,,,,
BLBM,1,(Townsite),DANSALAN,LANAO DEL NORTE,X,,,20000,20000,,,,,
BLBM,1,Bacolod,DANSALAN,LANAO DEL NORTE,X,7-59-30,,,,,,,,No Data Available
BLBM,1,Guimba,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,1,Marawi,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,1,Poblacion,DANSALAN,LANAO DEL NORTE,X,,,20000,20000,,,,,
BLBM,1,Poblacion,DANSALAN,LANAO DEL NORTE,X,,,20000,20000,,,,,
BLBM,2,(Townsite),DANSALAN,LANAO DEL NORTE,X,,,21672.53,20955.83,,,,,
BLBM,2,Bacolod,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,2,Guimba,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,2,Marawi,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,2,Poblacion,DANSALAN,LANAO DEL NORTE,X,,,20282.21,20307.904,,,,,
BLBM,2,Poblacion,DANSALAN,LANAO DEL NORTE,X,,,20282.21,20307.9,,,,,
BLLM,1,Dansalan,DANSALAN,LANAO DEL NORTE,X,7-59-35.88,124-17-42.72,,,,,,,
BLLM,2,Dansalan,DANSALAN,LANAO DEL NORTE,X,,,,,,,,,
TRI. STA,,Dansalan C. & G.S.,DANSALAN,LANAO DEL NORTE,X,7-59-49.991,124-18-01.556,20433.48,20576.7,,,,,
TRI. STA,,Lanao N.E. Base,DANSALAN,LANAO DEL NORTE,X,8-00-35.265,124-15-33.331,21824.25,16037.61,,,,,
TRI. STA,,Pantar-1912 Concrete Mon.,DANSALAN,LANAO DEL NORTE,X,8-03-38.759,124-15-54.465,19802.83,20225.09,,,,,
BLBM,1,Buayan,DITSA-AN ,LANAO DEL NORTE,X,7-57-30,,,,,,,,No Data Available
BLBM,1,Ramain,DITSA-AN ,LANAO DEL NORTE,X,7-58-30,,,,,,,,No Data Available
BLBM,2,Buayan,DITSA-AN ,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,2,Ramain,DITSA-AN ,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLLM,1,Ditsa-an (Dist.),DITSA-AN ,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLLM,2,Ditsa-an (Dist.),DITSA-AN ,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLLM,,Ganassi,GANASSI,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,1,Bayog,ILIGAN,LANAO DEL NORTE,X,8-15-10.6,124-15-02.7,22564.1,21586.46,912599.703,417453.973,,,
BLBM,1,Buruan,ILIGAN,LANAO DEL NORTE,X,8/11/2021,124-10-03.3,13061.06,10575.73,903117.264,406424.626,,,
BLBM,1,Buru-un Iligan City,ILIGAN,LANAO DEL NORTE,X,,,25518.43,22432.1,915552.515,418305.276,,,
BLBM,1,Camp Overton,ILIGAN,LANAO DEL NORTE,X,8-12-24.3,124-12-27.8,15000,15000,905047.876,410852.822,,,
BLBM,1,Camp Overton,ILIGAN,LANAO DEL NORTE,X,8/12/2024,124-12-25.8,14988.92,14936.78,891546.361,410763.841,,,
BLBM,1,Quiwalan,ILIGAN,LANAO DEL NORTE,X,8-17-15.9,124-15-27.8,26414.45,22354.85,916448.713,418229.733,,,
BLBM,1,San Miguel,ILIGAN,LANAO DEL NORTE,X,,,18192.3,20836.6,908229.183,416695.747,,,
BLBM,1,Santiago,ILIGAN,LANAO DEL NORTE,X,,,21695.05,21180.47,911731.398,417046.312,,,
BLBM,1,Sta. Filomena,ILIGAN,LANAO DEL NORTE,X,8/15/1955,,24198.67,22230.85,914233.096,418101.502,,,
BLBM,1,Tuminubo B.L. Mon.,ILIGAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,2,Bayog,ILIGAN,LANAO DEL NORTE,X,,,22614.05,21602.02,912649.625,417469.629,,,
BLBM,2,Buruan,ILIGAN,LANAO DEL NORTE,X,,,13041.81,10535.45,903098.09,406384.307,,,
BLBM,2,Buru-un Iligan City,ILIGAN,LANAO DEL NORTE,X,,,25499.15,22391.82,915533.312,418264.958,,,
BLBM,2,Camp Overton,ILIGAN,LANAO DEL NORTE,X,,,14875.48,14658.5,904924.001,410511.069,,,
BLBM,2,Camp Overton,ILIGAN,LANAO DEL NORTE,X,,,15024.42,14977.77,905072.339,410830.638,,,
BLBM,2,Quiwalan,ILIGAN,LANAO DEL NORTE,X,,,26469.41,22448.49,916503.496,418323.481,,,
BLBM,2,San Miguel,ILIGAN,LANAO DEL NORTE,X,,,18317.14,20784.27,908354.127,416643.654,,,
BLBM,2,Santiago,ILIGAN,LANAO DEL NORTE,X,,,21695.64,21237.94,911731.398,417046.312,,,
BLBM,2,Sta. Filomena,ILIGAN,LANAO DEL NORTE,X,,,24105.57,22332.96,914139.798,418203.438,,,
BLBM,2,Tuminubo B.L. Mon.,ILIGAN,LANAO DEL NORTE,X,,,,,,,,,No Data Available
BLBM,,Kauswagam,ILIGAN,LANAO DEL NORTE,X,8-11-18.15,124-06-28.67,,,,,,,No Data Available
BLLM,1,,ILIGAN,LANAO DEL NORTE,X,8-13-47.1,124-14-10.9,20000,20000,910038.542,415862.567,,,
