MON.,182,IMUS ESTATE,LAS PIÑAS,METRO MANILA,NCR,,,14104.31,19287.05,,,,,
BLBM,2,PAMPLONA,LAS PIÑAS,METRO MANILA,NCR,,,17299.34,18837.32,,,,,
BLBM,,PAMPLONA,LAS PIÑAS,METRO MANILA,NCR,,,17627.44,18724.13,,,,,
BDRY. MON.,,"RIZAL, CAVITE",LAS PIÑAS,METRO MANILA,NCR,,,17961.15,18096.85,,,,,
BLBM,2,ZAPOTE,LAS PIÑAS,METRO MANILA,NCR,,,17918.37,18046.67,,,,,
BLBM,,ZAPOTE,LAS PIÑAS,METRO MANILA,NCR,,,18033.12,18147.95,,,,,
BLLM,1,,LAS PIÑAS,METRO MANILA,NCR,14-28-57.27,120-58-49.56,20000,20000,,,,,
BLLM,2,,LAS PIÑAS,METRO MANILA,NCR,,,20263.22,20229.89,,,,,
BBM,1,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611749.65,502722.24,,,
BBM,2,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611009.45,502399.79,,,
BBM,3,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610590.23,504064.36,,,
BBM,4,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611070.3,503911.3,,,
BBM,5,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611178.28,504794.42,,,
BBM,6,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611154.42,504918.17,,,
BBM,7,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610264.3,504234.83,,,
BBM,8,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610203.44,504387.82,,,
BBM,9,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609983.13,504934.23,,,
BBM,10,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609830.92,504333.39,,,
BBM,11,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609903.23,503859.37,,,
BBM,12,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609745.93,503598.03,,,
BBM,13,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609195.54,503029.4,,,
BBM,14,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1607642.42,503746.72,,,
BBM,15,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1607212.64,502526.79,,,
BBM,16,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1608269.5,501990.71,,,
BBM,17,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1608268.55,501782.19,,,
BBM,18,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1607956.52,501141.33,,,
BBM,19,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1608976.67,500853.76,,,
BBM,20,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1608988.39,501400.82,,,
BBM,21,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610286.25,501135.66,,,
BBM,22,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609203.34,500612.36,,," = MBM 2, CAD 259, PASAY (AS PER POL. BDRY AMP)"
BBM,23,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610050.4,500681.42,,,
BBM,24,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609769.57,499896.4,,,
BBM,25,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609475.69,501000.15,,,
BBM,26,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610430.18,502840.62,,,
BBM,27,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610771.72,501616.73,,,
BBM,28,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610886.19,502334.91,,,
BBM,29,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610930.78,502216.22,,,
BBM,30,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610406.93,501527.62,,,
BBM,31,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611023.45,501232.29,,,
BBM,32,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610969.74,500223.39,,,
BBM,33,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611082.56,500336.25,,,"= CBM 10, MANILA, CAD 13"
BBM,34,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,,,,,"= CBM 12, MANILA, CAD 13"
BBM,35,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611349.19,500985,,,
BBM,36,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611179.83,501316.04,,,
BBM,37,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611462.84,501478.46,,,
BBM,38,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,,,,,"= CBM 14, MANILA CAD 13"
BBM,39,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611966.03,501192.27,,,
BBM,40,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611996.55,501606.89,,,
BBM,41,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1612366.52,501734.43,,,
BBM,42,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1612100.14,502176.66,,,
BBM,43,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611712.1,501602.3,,,
BBM,44,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611888.52,502524.48,,,
BBM,45,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1611085.61,502252.02,,,
BBM,46,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609757.28,502507.51,,,
BLLM,1,MCadm-571-D,MAKATI,METRO MANILA,NCR,14-34-08.837,121-01-53.223,,,1611134.881,503389.095,,,
BLLM,2,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1610978.334,503266.813,,,
BLLM,3,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609802.227,503734.896,,,
BLLM,4,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609005.71,502647.121,,,
BLLM,5,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1608632.062,501436.813,,,
BLLM,6,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,1609312.836,501079.709,,,
PBM,7,MCadm-571-D,MAKATI,METRO MANILA,NCR,,,,,,,,,"NOTE: PBM 7 = CBM 7, CAD 13, MANILA (AS PER PLAN)"
BBM,1,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591081.17,505250.49,,,
BBM,2,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591271.88,504746.99,,,
BBM,3,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591560.27,504641.81,,,
BBM,4,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591740.78,505288.01,,,
BBM,5,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1593191.19,505246.77,,,
BBM,6,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1593197.34,504910.29,,,
BBM,7,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1593806.85,504818.82,,,
BBM,8,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1594053.73,505231.36,,,
BBM,9,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595160.68,505232.2,,,
BBM,10,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595233.79,504728.82,,,
BBM,11,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1597268.71,505294.58,,,
BBM,12,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1597113.1,504768.38,,,
BBM,13,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1597589.33,505312.78,,,
BBM,14,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1597648.34,504765.42,,,
BBM,15,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595661.92,502256.45,,,
