BBM,61,CAD-314-D,AGOO,La Union,I,,,,,1808290.33,429737.88,,,,,,
BBM,62,CAD-314-D,AGOO,La Union,I,,,,,1806170.17,430479.95,,,,,,
BBM,63,CAD-314-D,AGOO,La Union,I,,,,,1806763.48,430152.19,,,,,,
BBM,64,CAD-314-D,AGOO,La Union,I,,,,,1808254.43,434451.60,,,,,,
BBM,65,CAD-314-D,AGOO,La Union,I,,,,,1807609.20,434480.77,,,,,,
BBM,66,CAD-314-D,AGOO,La Union,I,,,,,1803177.94,431450.76,,,,,,
BBM,67,CAD-314-D,AGOO,La Union,I,,,,,1803925.45,430712.16,,,,,,
BBM,68,CAD-314-D,AGOO,La Union,I,,,,,1804309.66,431260.70,,,,,,
BBM,69,CAD-314-D,AGOO,La Union,I,,,,,1802904.11,431758.78,,,,,,
BBM,70,CAD-314-D,AGOO,La Union,I,,,,,1803267.20,430083.02,,,,,,
BBM,71,CAD-314-D,AGOO,La Union,I,,,,,1806648.64,433918.91,,,,,,
BBM,72,CAD-314-D,AGOO,La Union,I,,,,,1805383.12,434720.56,,,,,,
BBM,73,CAD-314-D,AGOO,La Union,I,,,,,1805005.17,432322.85,,,,,,
BBM,74,CAD-314-D,AGOO,La Union,I,,,,,1807518.73,432312.59,,,,,,
BBM,75,CAD-314-D,AGOO,La Union,I,,,,,1805305.10,434492.47,,,,,,
BBM,76,CAD-314-D,AGOO,La Union,I,,,,,1806282.45,434296.32,,,,,,
BBM,77,CAD-314-D,AGOO,La Union,I,,,,,1805145.88,434088.46,,,,,,
BBM,78,CAD-314-D,AGOO,La Union,I,,,,,1804595.52,434290.59,,,,,,
BBM,79,CAD-314-D,AGOO,La Union,I,,,,,1804210.25,434600.31,,,,,,
BBM,80,CAD-314-D,AGOO,La Union,I,,,,,1807709.15,433634.16,,,,,,
BBM,81,CAD-314-D,AGOO,La Union,I,,,,,1805478.04,435107.74,,,,,,
BBM,82,CAD-314-D,AGOO,La Union,I,,,,,1807491.50,433248.95,,,,,,
BBM,83,CAD-314-D,AGOO,La Union,I,,,,,1807788.52,433161.48,,,,,,
BBM,84,CAD-314-D,AGOO,La Union,I,,,,,1803906.08,431589.66,,,,,,
BBM,85,CAD-314-D,AGOO,La Union,I,,,,,1807063.93,433169.97,,,,,,
BBM,86,CAD-314-D,AGOO,La Union,I,,,,,1808570.13,433081.22,,,,,,
BBM,87,CAD-314-D,AGOO,La Union,I,,,,,,,,,"Cad-106, Aringay",,,
BBM,88,CAD-314-D,AGOO,La Union,I,,,,,,,,,"Cad-132, Sto. Tomas",,,
BBM,89,CAD-314-D,AGOO,La Union,I,,,,,1803001.01,434830.84,,,,,,
BBM,90,CAD-314-D,AGOO,La Union,I,,,,,1802916.31,433781.42,,,,,,
BBM,91,CAD-314-D,AGOO,La Union,I,,,,,1802703.59,432613.87,,,,,,
BBM,92,CAD-314-D,AGOO,La Union,I,,,,,,,,,"Cad-132, Sto. Tomas",,,
BBM,93,CAD-314-D,AGOO,La Union,I,,,,,1801795.67,431107.37,,,,,,
BBM,94,CAD-314-D,AGOO,La Union,I,,,,,,,,,"Cad-106, Aringay",,,
BBM,95,CAD-314-D,AGOO,La Union,I,,,,,,,,,"Cad-106, Aringay",,,
BBM,96,CAD-314-D,AGOO,La Union,I,,,,,1807361.25,435838.70,,,,,,
BBM,97,CAD-314-D,AGOO,La Union,I,,,,,,,,,No Data Available,,,
BBM,98,CAD-314-D,AGOO,La Union,I,,,,,,,,,P-48,,,
BBM,99,CAD-314-D,AGOO,La Union,I,,,,,,,,,P-52,,,
BBM,100,CAD-314-D,AGOO,La Union,I,,,,,,,,,P-55,,,
MBM,1,CAD-314-D,AGOO,La Union,I,,,,,1809667.839,429785.971,,,,,,
MBM,2,CAD-314-D,AGOO,La Union,I,,,,,1809665.202,430662.329,,,,,,
MBM,3,CAD-314-D,AGOO,La Union,I,,,,,1809663.235,431333.008,,,,,,
MBM,4,CAD-314-D,AGOO,La Union,I,,,,,1810342.986,432822.833,,,,,,
MBM,5,CAD-314-D,AGOO,La Union,I,,,,,1810436.237,435901.242,,,,,,
MBM,6,CAD-314-D,AGOO,La Union,I,,,,,1807361.25,435838.70,,,,,,
MBM,7,CAD-314-D,AGOO,La Union,I,,,,,1806266.73,436037.69,,,,,,
MBM,8,CAD-314-D,AGOO,La Union,I,,,,,1804518.99,437878.40,,,,,,
MBM,9,CAD-314-D,AGOO,La Union,I,,,,,1803354.582,438121.862,,,,,,
MBM,10,CAD-314-D,AGOO,La Union,I,,,,,1802983.390,435753.630,,,,,,
MBM,11,CAD-314-D,AGOO,La Union,I,,,,,1802981.092,435253.219,,,,,,
MBM,12,CAD-314-D,AGOO,La Union,I,,,,,1803042.301,434486.560,,,,,,
MBM,13,CAD-314-D,AGOO,La Union,I,,,,,1802855.389,433514.142,,,,,,
MBM,14,CAD-314-D,AGOO,La Union,I,,,,,1802789.059,433119.278,,,,,,
MBM,15,CAD-314-D,AGOO,La Union,I,,,,,1802755.753,432733.718,,,,,,
MBM,16,CAD-314-D,AGOO,La Union,I,,,,,1802435.142,432047.676,,,,,,
MBM,17,CAD-314-D,AGOO,La Union,I,,,,,1801907.472,431284.896,,,,,,
MBM,18,CAD-314-D,AGOO,La Union,I,,,,,1801319.186,430340.118,,,,,,
MBM,19,CAD-314-D,AGOO,La Union,I,,,,,1809124.23,434274.07,,,,,,
MBM,20,CAD-314-D,AGOO,La Union,I,,,,,,,,,None,,,
BLLM,1,CAD-314-D,AGOO,La Union,I,16-19-29.109,120-21-56.992,,,1805485.603,432234.114,,,,,,
BLLM,2,CAD-314-D,AGOO,La Union,I,,,,,1805538.93,4322436.22,,,,,,
BLLM,3,CAD-314-D,AGOO,La Union,I,,,,,1802197.55,430018.23,,,,,,
BLLM,4,CAD-314-D,AGOO,La Union,I,,,,,1802422.56,429863.23,,,,,,
BLLM,5,CAD-314-D,AGOO,La Union,I,,,,,1809120.79,429832.09,,,,,,
BLLM,6,CAD-314-D,AGOO,La Union,I,,,,,1808864.15,429912.69,,,,,,
BLLM,7,CAD-314-D,AGOO,La Union,I,,,,,1807773.05,434505.49,,,,,,
