,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BLBM,2,AMBAGSANG,BANNA,ILOCOS NORTE,REGION I,,,15836.73,21514.23,1984678.474,465205.652,,,
,,BANNA B.T.,BANNA,ILOCOS NORTE,REGION I,,,20052.95,20143.69,,,,,
,,BARNA BELL TOWER,BANNA,ILOCOS NORTE,REGION I,,,20052.95,20143.69,1988897.073,463842.948,,,FROM PSU 147186
BLBM,1,,BANNA,ILOCOS NORTE,REGION I,17-58-56.52,120-39-26.12,20000,20000,,,,,
BLBM,2,,BANNA,ILOCOS NORTE,REGION I,,,20038.87,19912.64,,,,,
BLLM,1,,BANNA,ILOCOS NORTE,REGION I,17-58-56.52,120-39-26.12,20000,20000,1988844.39,463699.165,,,
BLLM,2,,BANNA,ILOCOS NORTE,REGION I,,,20038.87,19912.64,1988883.42,463611.88,,,
TRI. STA.,,BOJEADOT L.H,BANQUI,ILOCOS NORTE,REGION I,,,17263.71,2278.26,,,,,
TRI. STA.,,NEGRA,BANQUI,ILOCOS NORTE,REGION I,,,21031.17,6357.47,,,,,
BLLM,1,,BANQUI,ILOCOS NORTE,REGION I,18-32-20.24,120-45-51.94,20000,20000,,,,,
BLLM,2,,BANQUI,ILOCOS NORTE,REGION I,,,19898.69,19987.77,,,,,
BLBM,1,,BARONG,ILOCOS NORTE,REGION I,,,16188.27,23659.6,,,,,
BLBM,2,,BARONG,ILOCOS NORTE,REGION I,,,16165.02,23733.93,,,,,
BLBM,1,,BARUYAN,ILOCOS NORTE,REGION I,,,17630.18,13633.6,,,,,
BLBM,2,,BARUYAN,ILOCOS NORTE,REGION I,,,17557.34,13553.46,,,,,
BLBM,1,BAAY,BATAC,ILOCOS NORTE,REGION I,,,26692.44,20816.96,2003833.004,454575.551,,,
BLBM,2,BAAY,BATAC,ILOCOS NORTE,REGION I,,,26733.1,20833.25,2003873.625,454591.937,,,
BLBM,1,BALIGAT,BATAC,ILOCOS NORTE,REGION I,,,23967.83,20043.02,2001110.299,453795.192,,,
BLBM,2,BALIGAT,BATAC,ILOCOS NORTE,REGION I,,,23990.99,19982.45,2001133.601,453734.678,,,
TRI. STA.,,BATAC,BATAC,ILOCOS NORTE,REGION I,,,17669.14,18568.47,1994815.258,452305.791,,,
TRI. STA.,,BATAC,BATAC,ILOCOS NORTE,REGION I,,,17669.14,18568.47,,,,,
TRI. STA.,,BATAC B.T.,BATAC,ILOCOS NORTE,REGION I,,,19930.49,20062.64,1997073.019,453805.268,,,
TRI. STA.,,BATAC B.T.,BATAC,ILOCOS NORTE,REGION I,,,19930.49,20062.64,,,,,
TRI. STA.,,BATAC BELL TOWER,BATAC,ILOCOS NORTE,REGION I,18-03-24.663,120-33-49.978,,,,,,,"TO STATIONS = SAN MIGUEL, BATAC"
BDRY. MON.,,BATAC-PAOAY,BATAC,ILOCOS NORTE,REGION I,,,20345.94,17452.5,1997494.628,451196.175,,,
BLBM,1,CABARUAN,BATAC,ILOCOS NORTE,REGION I,,,18034.15,20936.67,1995174.664,454674.792,,,
BLBM,2,CABARUAN,BATAC,ILOCOS NORTE,REGION I,,,18020.48,20973.62,1995160.907,454711.709,,,
BLLM,2,CAD 398,BATAC,ILOCOS NORTE,REGION I,,,,,1997198.31,452979.49,,,
BLLM,1-A,CAD 398,BATAC,ILOCOS NORTE,REGION I,18-03-23.646,120-33-44.258,,,1997077.57,453660.83,,,
BLBM,1,CAMANDINGAN,BATAC,ILOCOS NORTE,REGION I,,,21503.93,26064.81,1998632.225,459810.979,,,
BLBM,2,CAMANDINGAN,BATAC,ILOCOS NORTE,REGION I,,,21478.9,26094.74,1998607.125,459840.849,,,
BLBM,1,CUBEL,BATAC,ILOCOS NORTE,REGION I,,,13465.45,15664.97,1990618.527,449392.421,,,
BLBM,2,CUBEL,BATAC,ILOCOS NORTE,REGION I,,,13439.15,15699.77,1990592.146,449427.158,,,
BLBM,1,MAGBACALAN,BATAC,ILOCOS NORTE,REGION I,,,23982.6,23213.09,2001117.568,456965.207,,,
BLBM,2,MAGBACALAN,BATAC,ILOCOS NORTE,REGION I,,,23968.38,23269.15,2001103.216,457021.232,,,
BLBM,1,MAGNUANG,BATAC,ILOCOS NORTE,REGION I,,,15502.95,17201.95,1992652.35,450934.183,,,
BLBM,2,MAGNUANG,BATAC,ILOCOS NORTE,REGION I,,,15577,17219.2,1992726.357,450951.608,,,
BLBM,1,MAGPATAYAN,BATAC,ILOCOS NORTE,REGION I,,,10764.58,29107.75,1987886.016,462828.429,,,
BLBM,2,MAGPATAYAN,BATAC,ILOCOS NORTE,REGION I,,,10700.51,29216.29,1987821.692,462936.814,,,
BLBM,1,QUILING,BATAC,ILOCOS NORTE,REGION I,,,21445.17,18307.53,1998591.809,452053.783,,,
BLBM,2,QUILING,BATAC,ILOCOS NORTE,REGION I,,,21336.23,18220.72,1998483.077,451966.718,,,
BLBM,1,QUIOM,BATAC,ILOCOS NORTE,REGION I,,,9810.28,19237.4,1986955.021,452956.128,,,
BLBM,2,QUIOM,BATAC,ILOCOS NORTE,REGION I,,,9830.14,19292.28,1986974.752,453011.054,,,
BLBM,1,SAN MATEO,BATAC,ILOCOS NORTE,REGION I,,,19321.87,23637.29,1996455.967,457378.378,,,
BLBM,2,SAN MATEO,BATAC,ILOCOS NORTE,REGION I,,,19310.71,23679.47,1996444.707,457420.53,,,
BLBM,1,SUMANDER,BATAC,ILOCOS NORTE,REGION I,,,16647.54,21687.02,1993786.319,455421.844,,,
BLBM,2,SUMANDER,BATAC,ILOCOS NORTE,REGION I,,,16626.02,21760.69,1993764.625,455495.461,,,
BLBM,1,SUYE,BATAC,ILOCOS NORTE,REGION I,,,24483.42,18291.59,2001630.019,452045.025,,,
BLBM,2,SUYE,BATAC,ILOCOS NORTE,REGION I,,,24432.37,18625.86,2001578.18,452379.166,,,
BLBM,1,VERONICA,BATAC,ILOCOS NORTE,REGION I,,,21540.08,23241.76,1998675.049,456988.103,,,
BLBM,2,VERONICA,BATAC,ILOCOS NORTE,REGION I,,,21626.47,23292.31,1998761.317,457038.856,,,
BDRY. MON.,,,BATAC,ILOCOS NORTE,REGION I,,,20345.94,17452.5,,,,,
BLLM,1,,BATAC,ILOCOS NORTE,REGION I,18-03-25.77,120-33-47.04,20000,20000,1997142.675,453742.794,,,CAD-398
BLLM,1,,BATAC,ILOCOS NORTE,REGION I,,,20000,20000,,,,,
BLLM,2,,BATAC,ILOCOS NORTE,REGION I,,,19805.22,19990.25,1996947.923,453732.584,,,
BLLM,2,,BATAC,ILOCOS NORTE,REGION I,,,19805.22,19990.25,,,,,
C. # 15.17,,,BATAC,ILOCOS NORTE,REGION I,,,23305.68,20192.98,2000447.811,453943.583,,,
C. # 15.17,,,BATAC,ILOCOS NORTE,REGION I,,,23305.68,20192.98,,,,,
,,,BATAC,ILOCOS NORTE,REGION I,18-03-25.77,120-33-47.04,,,,,,,NO DATA
BLBM,1,,BAYUYUGAN,ILOCOS NORTE,REGION I,,,24545.81,17887.62,,,,,
BLBM,2,,BAYUYUGAN,ILOCOS NORTE,REGION I,,,24438.26,17849.54,,,,,
BLBM,1,,BIDING,ILOCOS NORTE,REGION I,,,14007.19,19042.2,,,,,
BLBM,2,,BIDING,ILOCOS NORTE,REGION I,,,13975.2,19073.65,,,,,
BLBM,1,,BINGAO,ILOCOS NORTE,REGION I,,,15822.42,18872.15,,,,,
BLBM,2,,BINGAO,ILOCOS NORTE,REGION I,,,15850.9,18824.34,,,,,
BLBM,1,,BOBON,ILOCOS NORTE,REGION I,,,19285.84,13801.92,,,,,
BLBM,2,,BOBON,ILOCOS NORTE,REGION I,,,19364.69,13881.51,,,,,
BLBM,1,,BUDUON,ILOCOS NORTE,REGION I,,,22149.07,16907.08,,,,,
BLBM,2,,BUDUON,ILOCOS NORTE,REGION I,,,22120.95,16934.75,,,,,
BLBM,1,,BULBULALA,ILOCOS NORTE,REGION I,,,18352.25,25283.94,,,,,
BLBM,2,,BULBULALA,ILOCOS NORTE,REGION I,,,18246.22,25311.76,,,,,
BLBM,1,,BURAYOC,ILOCOS NORTE,REGION I,,,24482.99,22839.17,,,,,
BLBM,2,,BURAYOC,ILOCOS NORTE,REGION I,,,24538.43,22904.92,,,,,
TRI. STA.,,ASO,BURGOS,ILOCOS NORTE,REGION I,18-28-55.78,120-36-29.72,,,,,,,"TO STATIONS = N. BASE, UGSA, S. BASE"
BLBM,1,BOBEN,BURGOS,ILOCOS NORTE,REGION I,,,19285.84,13801.92,2046999.095,456113.936,,,
BLBM,2,BOBEN,BURGOS,ILOCOS NORTE,REGION I,,,19364.69,13881.51,2047077.785,456193.68,,,
BLBM,1,BUDUEN,BURGOS,ILOCOS NORTE,REGION I,,,22149.07,16907.08,2049856.09,459224.667,,,
BLBM,2,BUDUEN,BURGOS,ILOCOS NORTE,REGION I,,,22120.95,16934.75,2049827.916,459252.28,,,
BLBM,,BURGOS CH. CROSS,BURGOS,ILOCOS NORTE,REGION I,,,19953.12,20048.23,2047653.999,462361.37,,,
,,BURGOS CH. CROSS,BURGOS,ILOCOS NORTE,REGION I,,,19953.12,20048.23,,,,,
BBM,1,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-04.50,120-38-29.74,20384.18,19816.33,2048118.654,462156.5,,,
BBM,2,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-14.83,120-38-47.30,20701.84,20331.09,2048435.285,462671.87,,,
BBM,3,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-01.45,12038-58.22,20290.48,20615.49,2048023.377,462955.447,,,
BBM,4,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-34.35,120-39-20.04,19457.25,21292.14,2047188.839,463630.426,,,
BBM,5,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-26.64,120-39-08.63,19220.29,20957.52,2046952.549,463295.349,,,
BBM,6,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-19.86,120-38-58.46,19011.78,20659.32,2046744.635,462996.748,,,
BBM,7,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-32.91,120-38-25.23,19413.14,19684.4,2047147.908,462022.655,,,
BBM,8,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-48.13,120-38-02.39,19881.12,19014.18,2047617.197,461353.382,,,
BBM,9,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-02.74,120-37-30.13,20330.21,18185.25,2048067.91,460525.368,,,
BBM,10,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-32-05.53,120-36-53.92,22260.67,17004.8,2050000.64,459348.771,,,
BBM,11,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-32-04.76,120-36-45.06,22390.68,16744.95,2050131.159,459089.187,,,
BBM,12,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-13.66,120-35-53.53,20665.79,15234.22,2048409.313,457575.093,,,
BBM,13,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-34.34,120-38-47.01,17612.28,20324.25,2045345.846,462658.923,,,
BBM,14,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-58.51,120-38-52.88,18355.55,20496,2046088.751,462832.136,,,
BBM,15,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-53.10,120-39-25.56,16344.54,21455.72,2044075.915,463787.847,,,
BBM,16,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-21.33,120-38-47.00,17212.28,20324.25,2044945.859,462658.132,,,
BBM,17,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-58.51,120-38-52.88,18355.55,20496,2046088.751,462832.136,,,
BBM,18,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-53.10,120-39-25.56,16344.54,21455.72,2044075.915,463787.847,,,
BBM,19,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-13.38,120-39-56.04,15123.16,22350.54,2042852.811,464680.221,,,
BBM,20,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-05.45,120-40-14.35,18568.97,22885.59,2046297.441,465222.062,,,
BBM,21,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-15.61,120-39-55.78,20725.75,22339.62,2048455.224,464680.375,,,
BBM,22,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,13390.86,25346.31,2041114.66,467672.453,,,
BBM,23,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
BBM,24,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
BBM,25,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-44.12,120-35-28.42,17913.02,14498.84,2045658.084,456834.294,,,
BBM,26,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-28.71,120-36-50.90,15594.71,16919.24,2043335.069,459250.038,,,
BBM,27,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-38-06.18,120-36-27.30,14901.79,16227.06,2042643.538,458556.51,,,
BBM,28,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-28.15,120-37-20.57,21129.94,17786.94,2048868.401,460128.651,,,
BBM,29,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-31.58,120-38-47.93,21216.73,20349.19,2048950.122,462690.987,,,
BBM,30,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-46.90,120-36-29.50,19843.08,16289.74,2047584.543,458628.955,,,
BBM,31,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-19.57,120-37-11.15,19002.98,17511.72,2046742.056,459849.236,,,
BBM,32,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-45.67,120-38-15.56,17960.56,19389.57,2045695.96,461724.964,,,
BBM,33,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-50.33,120-37-07.05,16259.39,17392.45,2043998.792,459724.547,,,
BBM,35,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,17243.38,14890.81,2044987.691,457224.928,,,
BLLM,1,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-52.00,120-38-36.00,20000,20000,2047734.124,462339.404,,,
BLLM,2,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-49.53,120-38-33.58,19924.2,19929.11,2047658.467,462268.367,,,
BLLM,3,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-22.09,120-39-20.28,20925.18,21296.97,2048656.708,463638.157,,,
BLLM,4,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-28.25,120-39-23.95,21114.46,21405.93,2048045.766,463747.488,,,
BLLM,5,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-48.94,120-40-29.84,19906,23339.25,2047633.527,465678.348,,,
BLLM,6,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-42.82,120-40-30.09,19717.72,23346.59,2047445.239,465685.316,,,
BLLM,7,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-48.82,120-39-60.24,18057.66,22472.12,2045786.967,464807.597,,,
BLLM,8,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-53.28,120-39-56.57,18194.65,22364.41,2045924.165,464700.162,,,
BLLM,9,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-27-11.36,120-39-39.88,13216.44,20117.52,2040950.566,462443.511,,,
BLLM,10,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-27-05.77,120-38-35.21,13044.71,19980.37,2040779.112,462306.027,,,
BLLM,11,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-04.29,120-38-24.88,14843.95,19676.56,2042578.89,462005.783,,,
BLLM,12,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-27-58.49,120-38-29.97,14665.53,19828.91,2042400.175,462157.776,,,
BLLM,13,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-26.45,120-36-39.85,21059.24,16592.47,2048800.065,458934.08,,,
BLLM,14,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-31-25.15,120-36-36.48,21019.16,16493.69,2048760.181,458835.223,,,
BLLM,15,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-32-26.73,120-37-48.10,22912.45,18593.52,2050649.256,460938.728,,,
BLLM,16,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-32-27.39,120-37-46.09,22779.03,18534.78,2050515.956,460879.727,,,
BLLM,17,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-27.87,120-35-03.81,19258.25,13776.31,2047004.699,456114.443,,,
BLLM,18,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-30-30.45,120-35-06.53,19337.38,13856.1,2047083.669,456194.387,,,
MBM,1,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-26-39.03,120-37-17.19,12222.52,17691.83,2039961.466,460015.938,,,
MBM,2,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-26-51.35,120-37-04.96,12601.27,17332.93,2040340.911,459657.798,,,
MBM,3,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-29-14.96,120-36-41.52,13327.11,16645.1,2041068.084,458971.424,,,
MBM,4,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-27-38.56,120-36-18.09,14052.91,15957.3,2041795.218,458285.08,,,
MBM,5,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-02.17,120-35-54.66,14778.77,15269.5,2042522.412,457598.736,,,
MBM,6,CAD 252,BURGOS,ILOCOS NORTE,REGION I,18-28-29.33,120-35-27.70,15613.56,14478.4,2043358.738,456809.309,,,
MBM,7,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,16303.02,13825.05,2044049.466,456157.34,,,
MBM,8,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,9,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,10,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,11,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,12,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
MBM,13,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,21086,23631.8,2048812.906,465973.22,,,
MBM,14,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,20695.21,24262.96,2048420.882,466603.583,,,
MBM,22,CAD 252,BURGOS,ILOCOS NORTE,REGION I,,,13390.86,25346.31,2041114.66,467672.453,,,
TRI. STA.,,CLIFF,BURGOS,ILOCOS NORTE,REGION I,18-32-02.53,120-39-25.92,,,,,,,"TO STATIONS = TALUN, UGASA, NAGAPARTIAN, DIALAO"
TRI. STA.,,DIRIQUE,BURGOS,ILOCOS NORTE,REGION I,18-28-32.84,120-33-34.8,,,,,,,"TO STATIONS = PAULA, CAUIT, SAL"
TRI. STA.,,N. BASE (BOJEADOR),BURGOS,ILOCOS NORTE,REGION I,18-28-53.78,120-33-33.47,,,,,,,"TO STATIONS = PAULA, DIRIQUE"
TRI. STA.,,NAGAPARTIAN,BURGOS,ILOCOS NORTE,REGION I,18-29-16.61,120-37-47.95,,,,,,,"TO STATIONS = ASO, TALUN, UGSA"
TRI. STA.,,NAGAPARTIAN CH.,BURGOS,ILOCOS NORTE,REGION I,18-30-52.04,120-38-24.88,,,,,,,"TO STATIONS = NAGAPARTIAN, TALUN"
TRI. STA.,,S. BASE (BOJEADOR),BURGOS,ILOCOS NORTE,REGION I,18-27.58.06,120-33-49.49,,,,,,,"TO STATIONS = N. BASE, PAULA, DIRIQUE"
TRI. STA.,,SUNGO,BURGOS,ILOCOS NORTE,REGION I,18-30-15.27,120-36-07.44,,,,,,,"TO STATIONS = S. BASE, N. BASE, UGSA"
TRI. STA.,,TALUN,BURGOS,ILOCOS NORTE,REGION I,18-29-39.83,120-37-15.61,,,,,,,"TO STATIONS = ASO, UGSA"
TRI. STA.,,UGSA,BURGOS,ILOCOS NORTE,REGION I,18-29-51.75,120-38-14.58,,,,,,,"TO STATIONS = S. BASE, N. BASE"
TRI. STA.,,WHITE ROCK,BURGOS,ILOCOS NORTE,REGION I,18-32-29.06,120-38-56.18,,,,,,,"TO STATIONS = NEGRA, BANGUI, DIALAO"
BLLM,1,,BURGOS,ILOCOS NORTE,REGION I,18-30-50.92,120-38-35.11,20000,20000,2047700.973,462313.234,,,FOR NEW DATA SEE CAD-252
BLLM,1,,BURGOS,ILOCOS NORTE,REGION I,18-30-50.92,120-38-35.11,20000,20000,,,,,
BLLM,2,,BURGOS,ILOCOS NORTE,REGION I,,,19945.74,19938.95,2047646.836,462252.079,,,
BLLM,2,,BURGOS,ILOCOS NORTE,REGION I,,,19945.74,19938.95,,,,,
TRI. STA.,,NEGRA,BURGOS (LUZON DATUM),ILOCOS NORTE,REGION I,18-32-53.781,120-38-06.827,,,,,,,"TO STATIONS = CLIFF, TALUN, NAGAPARTIAN"
BLBM,1,,CABARUAN,ILOCOS NORTE,REGION I,,,18034.15,20936.67,,,,,
BLBM,2,,CABARUAN,ILOCOS NORTE,REGION I,,,18020.48,20973.62,,,,,
BLBM,1,,CADAGSAN,ILOCOS NORTE,REGION I,,,17148.79,15982.54,,,,,
BLBM,2,,CADAGSAN,ILOCOS NORTE,REGION I,,,17173.47,15917.65,,,,,
BLBM,1,,CADARATAN,ILOCOS NORTE,REGION I,,,24420.83,18768.66,,,,,
BLBM,2,,CADARATAN,ILOCOS NORTE,REGION I,,,24350.43,18777.89,,,,,
BLBM,1,,CALAYAB,ILOCOS NORTE,REGION I,,,15613.99,13391.01,,,,,
BLBM,2,,CALAYAB,ILOCOS NORTE,REGION I,,,15634.98,13326.78,,,,,
BLBM,1,,CAL-LAGUIP,ILOCOS NORTE,REGION I,,,21242.11,16272.13,,,,,
BLBM,2,,CAL-LAGUIP,ILOCOS NORTE,REGION I,,,21306.4,16289.18,,,,,
BLBM,1,,CAMANDINGAN,ILOCOS NORTE,REGION I,,,21503.93,26064.81,,,,,
BLBM,2,,CAMANDINGAN,ILOCOS NORTE,REGION I,,,21478.9,26094.74,,,,,
BLBM,1,,CAMANGA,ILOCOS NORTE,REGION I,,,17881.93,30093.87,,,,,
BLBM,2,,CAMANGA,ILOCOS NORTE,REGION I,,,17965.15,30141.77,,,,,
BLBM,1,,CAPASAN,ILOCOS NORTE,REGION I,,,21609.44,17243.12,,,,,
BLBM,2,,CAPASAN,ILOCOS NORTE,REGION I,,,21537.95,17186.73,,,,,
BBM,1,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2006859.63,479610.41,,,
BBM,2,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2007535.43,479408.4,,,
BBM,3,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2008392.9,479509.21,,,
BBM,4,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2021667.93,490211.02,,,MBM 11
BLLM,1,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,18-08-40.270,120-49-11.743,,,2006765.582,480945.776,,,
BLLM,2,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2006689.218,480864.467,,,
BLLM,3,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2008479.425,478768.079,,,
BLLM,4,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2008133.224,478794.673,,,
MBM,1,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2011888.48,492153.8,,,"MBM 1 / CAD-574-D, SOLSONA"
MBM,2,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2006253.53,482143.28,,,
MBM,3,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2005878.39,480661.24,,,"MBM 18 / CAD-657-D, PIDDIG"
MBM,4,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2006392.26,480626.76,,,MBM 17
MBM,5,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2006859.63,479610.41,,,
MBM,6,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2007638.84,477915.88,,,"MBM 16 / CAD-657-D, PIDDIG"
MBM,7,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2008779.831,477093.56,,,"MBM 15-A / CAD-657-D, PIDDIG"
MBM,8,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2014458.49,481860.54,,,"MBM 15 / CAD-657-D, PIDDIG"
MBM,9,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2020716.69,479266.47,,,"MBM 14 / CAD-657-D, PIDDIG"
MBM,10,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2023320.45,487240.75,,,"MBM 21 / CAD-577-D, VINTAR"
MBM,11,CAD 735-D,CARASI,ILOCOS NORTE,REGION I,,,,,2021667.93,490211.02,,,"MBM 20 / CAD-577-D, VINTAR"
BLBM,1,,CATAGUING,ILOCOS NORTE,REGION I,,,17716.93,20147.92,,,,,
BLBM,2,,CATAGUING,ILOCOS NORTE,REGION I,,,17745.78,20164.95,,,,,
TRI. STA.,,,CAUIT-LAOAG,ILOCOS NORTE,REGION I,,,21429.65,14736.43,,,,,
BLBM,1,,CUBOL,ILOCOS NORTE,REGION I,,,13465.45,15664.97,,,,,
BLBM,2,,CUBOL,ILOCOS NORTE,REGION I,,,13439.15,15699.77,,,,,
BLBM,1,,CUL-LABENG,ILOCOS NORTE,REGION I,,,9228.09,19862.18,,,,,
BLBM,2,,CUL-LABENG,ILOCOS NORTE,REGION I,,,9272.85,19685.5,,,,,
BBM,1,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-10.087,120-29-02.937,,,1992992.95,445376.15,,,
BBM,2,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-12.113,120-28-42.569,,,1993056.93,444777.2,,,
BBM,3,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-28.138,120-28-59.322,,,1993548.18,445271.36,,,
BBM,4,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-24.049,120-29-17.714,,,1993420.98,445811.99,,,
BBM,5,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-08.240,120-29-06.818,,,1992935.87,445490.16,,,
BBM,6,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-09.160,120-29-32.430,,,1992962.07,446243.61,,,
BBM,7,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-05.230,120-30-36.562,,,1989147.1,448119.95,,,
BBM,8,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-38.793,120-29-35.430,,,1993873.83,446334.34,,,
BBM,9,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-54.302,120-29-17.971,,,1992506.45,445817.04,,,
BBM,10,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-53.625,120-29-14.640,,,1992485.92,445719.01,,,
BBM,11,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-23.185,120-28-47.910,,,1995241.41,444942.78,,,
BBM,12,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-42.649,120-28-56.290,,,1995839.09,445188.86,,,
BBM,13,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-28.441,120-29-29.615,,,1991710.53,446142.06,,,
BBM,14,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-06.529,120-29-52.190,,,1991035.05,446819.62,,,
BBM,15,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-05.451,,,,1994693.6,445881.84,,,LONGITUDE = BLURRED
