,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BLBM,1,NTRA. SRA. DE LA PAZ,BACARRA,ILOCOS NORTE,REGION I,,,23160.86,20273.64,2021925.721,458938.574,,,
BLBM,2,NTRA. SRA. DE LA PAZ,BACARRA,ILOCOS NORTE,REGION I,,,23145.93,20325.43,2021910.681,458990.331,,,
BLBM,1,SAN BENIGNO,BACARRA,ILOCOS NORTE,REGION I,,,22755.43,17724.57,2021525.755,456388.715,,,
BLBM,2,SAN BENIGNO,BACARRA,ILOCOS NORTE,REGION I,,,22737.07,17720.24,2021507.405,456384.345,,,
BLBM,1,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24825.11,23234.33,2023583.585,461902.723,,,
BLBM,1,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24826.34,23281.48,2023584.714,461949.874,,,RELOCATION
BLBM,2,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24846.65,23247.02,2023605.097,461915.459,,,
BLBM,2,SAN RAFAEL,BACARRA,ILOCOS NORTE,REGION I,,,24765.12,23245.52,2023523.573,461913.785,,,RELOCATION
BLBM,1,STA. CATALINA,BACARRA,ILOCOS NORTE,REGION I,,,20651.98,16865.36,2019424.204,455525.034,,,
BLBM,2,STA. CATALINA,BACARRA,ILOCOS NORTE,REGION I,,,20520.23,17026.14,2019292.115,455685.528,,,
TRI. STA.,,WHITE,BACARRA,ILOCOS NORTE,REGION I,,,24390.07,20480.02,2023154.451,459147.575,,,
TRI. STA.,,WHITE,BACARRA,ILOCOS NORTE,REGION I,,,24390.07,20480.02,,,,,
BLLM,1,,BACARRA,ILOCOS NORTE,REGION I,18-15-09.48,120-36-32.62,20000,20000,2018765.545,458658.188,,,
BLLM,1,,BACARRA,ILOCOS NORTE,REGION I,18-15-09.48,120-36-32.62,20000,20000,,,,,
BLLM,2,,BACARRA,ILOCOS NORTE,REGION I,,,20123.88,19958.91,2018889.509,458617.364,,,
BLLM,2,,BACARRA,ILOCOS NORTE,REGION I,,,20123.88,19958.91,,,,,
TRI. STA.,,WHITE,BACARRA (LUZON DATUM),ILOCOS NORTE,REGION I,18-17-32.275,120-36-48.966,,,,,,,"TO STATIONS = PASUGUIN, CAUIT, BLOCK"
BLBM,1,,BACSIL,ILOCOS NORTE,REGION I,,,20435.37,26698.02,,,,,
BLBM,2,,BACSIL,ILOCOS NORTE,REGION I,,,20388.84,26781.56,,,,,
BLBM,1,,BADIO DAYA,ILOCOS NORTE,REGION I,,,7892.36,20366.17,,,,,
BLBM,2,,BADIO DAYA,ILOCOS NORTE,REGION I,,,7792.04,20320.98,,,,,
TRI. STA.,,BADOC,BADOC,ILOCOS NORTE,REGION I,17-55-29.44,120-24-30.95,,,,,,,"TO STATIONS = COLINA, SALOMAQUE"
TRI. STA.,,BADOC B.T.,BADOC,ILOCOS NORTE,REGION I,,,20161.35,19970.81,,,,,
TRI. STA.,,BADOC CH. B.T.,BADOC,ILOCOS NORTE,REGION I,17-55-47.890,120-28-25.692,,,,,,,"TO STATIONS = CULILI, PASEAR"
TRI. STA.,,BADOC. B.T.,BADOC,ILOCOS NORTE,REGION I,,,20161.35,19970.81,1983066.076,444228.814,,,
KM. M # 36,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,25324.86,20164.48,1988228.957,444437.076,,,
KM. M # 37,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,24356.33,20321.96,1987259.997,444591.816,,,
KM. M # 38,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,23439.98,20736.62,1986342.488,445003.879,,,
KM. M # 40,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,21572.85,20303.78,1984476.612,444565.768,,,
KM. M # 43,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,18779.76,19939.79,1981684.595,444193.889,,,
KM. M # 44,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,17991.03,19970.86,1980895.79,444222.729,,,
KM. M # 45,,BADOC-PAOAY,BADOC,ILOCOS NORTE,REGION I,,,17078.9,19766.9,1979984.25,444016.193,,,
BLBM,1,CAMANGA,BADOC,ILOCOS NORTE,REGION I,,,17881.93,30093.87,1980758.091,454345.206,,,
BLBM,2,CAMANGA,BADOC,ILOCOS NORTE,REGION I,,,17965.12,30141.77,1980841.144,454393.339,,,
TRI. STA.,,"FORT ""D""",BADOC,ILOCOS NORTE,REGION I,17-55-58.93,120-26-21.06,,,,,,,"TO STATIONS = BADOC, (CURRIMAO) AST STA, PASEAR  "
TRI. STA.,,GABOT,BADOC,ILOCOS NORTE,REGION I,,,24917.66,19280.83,1987824.265,443552.289,,,
TRI. STA.,,GABOT,BADOC,ILOCOS NORTE,REGION I,,,24917.66,19280.83,,,,,
TRI. STA.,,GABOT,BADOC,ILOCOS NORTE,REGION I,17-58-21.787,120-28-01.441,,,,,,,"TO STATIONS = BADOC, CULILI, CURRIMAO AST. STA."
BDRY. MON.,,ILOCOS NORTE & ILOCOS SUR,BADOC,ILOCOS NORTE,REGION I,,,16334.89,19156.79,1979241.974,443403.989,,,
BLBM,1,LIGSAY,BADOC,ILOCOS NORTE,REGION I,,,18591,21043.25,1981492.72,445296.797,,,
BLBM,2,LIGSAY,BADOC,ILOCOS NORTE,REGION I,,,18562.99,21084.53,1981464.594,445337.997,,,
BLBM,1,LINGSAT,BADOC,ILOCOS NORTE,REGION I,,,24310.56,19822.89,1987215.64,444092.624,,,
BLBM,2,LINGSAT,BADOC,ILOCOS NORTE,REGION I,,,24460.43,20034.69,1987364.908,444304.845,,,
BLBM,1,NAGREBCAN 5,BADOC,ILOCOS NORTE,REGION I,,,17833.59,26164.9,1980720.852,450416.202,,,
BLBM,2,NAGREBCAN 6,BADOC,ILOCOS NORTE,REGION I,,,17958.39,26046.54,1980845.984,450298.197,,,
BLBM,1,PACIENCIA,BADOC,ILOCOS NORTE,REGION I,,,16633.37,23914.36,1979527.013,448162.319,,,
BLBM,2,PACIENCIA,BADOC,ILOCOS NORTE,REGION I,,,16600.07,23972,1979493.55,448219.864,,,
BLBM,1,PARANG,BADOC,ILOCOS NORTE,REGION I,,,21369.5,24116.86,1984262.484,448378.203,,,
BLBM,2,PARANG,BADOC,ILOCOS NORTE,REGION I,,,21329.73,24174.16,1984222.552,448435.389,,,
BLBM,1,PARATONG,BADOC,ILOCOS NORTE,REGION I,,,20455.32,16711.44,1983369.256,440970.318,,,
BLBM,2,PARATONG,BADOC,ILOCOS NORTE,REGION I,,,20385.06,16774.61,1983298.818,441033.288,,,
BLLM,1,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,17-55-43.067,120-28-26.491,20000,20000,1982942.623,444275.636,,,
BLLM,2,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,20054.34,19868.86,1982997.333,444144.652,,,
BLLM,3,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,24294.12,19867.76,1987237.05,444155.533,,,S-20
