BLLM,1,PLS682,"BORBON,PROSPERIDAD",AGUSAN DEL SUR,XIII,8-29-56.259,125-50-45.889,20000,20000,,
BLLM,2,PLS682,"BORBON,PROSPERIDAD",AGUSAN DEL SUR,XIII,,,20136.33,20004.23,,
BLLM,3,PLS682,"BORBON,PROSPERIDAD",AGUSAN DEL SUR,XIII,,,24577.7,20059.47,,
BLLM,4,PLS682,"BORBON,PROSPERIDAD",AGUSAN DEL SUR,XIII,,,24745.48,20067.53,,
BLLM,1,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,8-34-54.05,125-42-35.95,20000,20000,,
BLLM,2,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,20013.33,19725.16,,
BLLM,3,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,26787.45,23330.49,,
BLLM,4,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,26566.76,23344.33,,
BLLM,5,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,23309.08,22168.96,,
BLLM,6,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,23449.41,22174.59,,
BLLM,7,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,13477.43,21690.76,,
BLLM,8,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,13388.74,21824.49,,
BLLM,9,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,12161.96,19483.66,,
BLLM,10,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,12234.56,18407.15,,
BLLM,11,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,12161.56,18607.31,,
BLLM,12,PLS443,ESPERANZA,AGUSAN DEL SUR,XIII,,,15360.15,18407.15,,
BLLM,1,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,8-27-00.741,125-43-57.636,20000,20000,,
BLLM,2,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,19720.27,19842.6,,
BLLM,3,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,15156.01,17177.11,,
BLLM,4,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,15057.19,17118.87,,
BLLM,5,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,20984.53,16296.04,,
BLLM,6,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,21122.62,16287.52,,
BLLM,7,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,23271.82,20567.72,,
BLLM,8,PLS624,ESPERANZA,AGUSAN DEL SUR,XIII,,,23055.62,20729.28,,
BLLM,1,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,30000,30000,,
BLLM,2,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,29731.11,30108.66,,
BLLM,3,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,43909.33,18491.8,,
BLLM,4,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,44176.8,18493,,
BLLM,5,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,50153.77,24270.52,,
BLLM,6,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,49939.32,24346.2,,
BLLM,7,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,46203.04,27634.44,,
BLLM,8,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,45857.76,27763.11,,
BLLM,9,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,40293.96,26816.2,,
BLLM,10,PLS67,ROSARIO&VICINITY,AGUSAN DEL SUR,XIII,,,39945.58,26832.32,,
BLLM,1,PLS-1024,BAYUGAN,AGUSAN DEL SUR,XIII,8-39-18.060,125-48-35.106,,,957081.54,589120.83
BLLM,2,PLS-1024,BAYUGAN,AGUSAN DEL SUR,XIII,,,,,957081,588895.89
BLLM,3,PLS-1024,BAYUGAN,AGUSAN DEL SUR,XIII,,,,,961654.19,590378.68
BLLM,4,PLS-1024,BAYUGAN,AGUSAN DEL SUR,XIII,,,,,961747.33,590499.18
BLLM,5,PLS-43,BAYUGAN,AGUSAN DEL SUR,XIII,,,,,955740.57,592092.78
BLLM,6,PLS-43,BAYUGAN,AGUSAN DEL SUR,XIII,,,,,955911.18,592008.6
BLLM,1,CAD701-D,LA PAZ,AGUSAN DEL SUR,XIII,8-17-00.917,125-48-48.196,,,915947.256,589607.064
BLLM,2,CAD701-D,LA PAZ,AGUSAN DEL SUR,XIII,,,,,915962.005,589943.33
BLLM,3,CAD701-D,LA PAZ,AGUSAN DEL SUR,XIII,,,,,912790.57,585434.99
