BLLM,4,CAD 913,MAHATAO,BATANES,II,,,,,2257845.726,596621.924,,,,
BLLM,1,,MAHATAO,BATANES,II,20-25-04.830,121-56-45.420,20000,20000,2258680.151,598726.986,,,Itbayat and Mahatao,
BLLM,1,,MAHATAO,BATANES,II,20-25-04.830,121-56-45.420,20000,20000,2036287.145,598726.986,,,,
BLLM,2,,MAHATAO,BATANES,II,,,19907.59,19858.72,2258586.922,598586.231,,,,
BLLM,2,,MAHATAO,BATANES,II,20-25-01.825,121-56-40.547,19907.59,19858.72,2036380.37,598586.243,,,,
BLLM,3,,MAHATAO,BATANES,II,,,19827.07,20355.69,2258509.26,599083.691,,,,
BLLM,3,,MAHATAO,BATANES,II,20-24-59.206,121-56-57.689,19827.07,20355.69,2036458.046,599083,,,,
BLLM,4,,MAHATAO,BATANES,II,,,18447.42,21067.85,2257133.636,599803.838,,,,
BLLM,4,,MAHATAO,BATANES,II,20-24-14.340,121-57-22.250,18447.42,21067.85,2037833.67,599803.842,,,,
BLLM,5,,MAHATAO,BATANES,II,,,19361.87,20720.1,2258046.134,599450.801,,,,
BLLM,5,,MAHATAO,BATANES,II,20-24-44.078,121-57-10.257,19361.87,20720.1,2036921.164,599450.791,,,,
BLLM,6,,MAHATAO,BATANES,II,,,19121.61,19637.53,2257799.626,598369.556,,,,
BLLM,6,,MAHATAO,BATANES,II,20-24-36.265,121-56-32.918,19121.61,19637.53,2037167.68,598369.554,,,,
BLLM,7,,MAHATAO,BATANES,II,,,17672.27,20587.66,2256355.679,599328.086,,,,
BLLM,7,,MAHATAO,BATANES,II,20-23-49.134,121-57-05.687,17672.27,20587.66,2038611.611,599328.072,,,,
BLLM,8,,MAHATAO,BATANES,II,,,21352.35,20745.98,2260036.872,599465.217,,,,
BLLM,8,,MAHATAO,BATANES,II,20-25-48.807,121-57-11.153,21352.35,20745.98,2034930.414,599465.215,,,,
BLLM,9,,MAHATAO,BATANES,II,,,20434.05,20881.76,2259119.304,599606.294,,,,
BLLM,9,,MAHATAO,BATANES,II,20-25-18.944,121-57-15.835,20434.05,20881.76,2035847.997,599606.29,,,,
BLLM,10,,MAHATAO,BATANES,II,,,19776.44,20067.43,2258456.967,598795.707,,,,
