BLLM,10,PLS 38,Pinappagan,Nueva Viscaya,II,16-22-18.59,121-37-19.83,22998.35,13001.09,,,,,
BLLM,11,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-57.67,121-39-37.79,22355.48,17095.64,,,,,
BLLM,12,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-53.81,121-39-37.09,22236.9,17074.68,,,,,
BLLM,13,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-13.22,121-39-21.41,20989.12,16609.36,,,,,
BLLM,14,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-09.83,121-39-20.81,20884.94,16591.67,,,,,
BLLM,15,PLS 38,Pinappagan,Nueva Viscaya,II,16-19-35.44,121-39-29.70,17983.73,16855.29,,,,,
BLLM,16,PLS 38,Pinappagan,Nueva Viscaya,II,16-19-39.84,121-39-41.13,18118.78,17194.36,,,,,
BLLM,17,PLS 38,Pinappagan,Nueva Viscaya,II,16-22-11.72,121-41-00.15,22787.44,19539.98,,,,,
BLLM,18,PLS 38,Pinappagan,Nueva Viscaya,II,16-22-13.23,121-41-04.12,22833.78,19657.77,,,,,
BLLM,19,PLS 38,Pinappagan,Nueva Viscaya,II,16-16-22.58,121-39-01.90,12055.65,16029.64,1799757.339,569533.222,,,
BLLM,20,PLS 38,Pinappagan,Nueva Viscaya,II,16-16-17.92,121-39-01.06,11912.27,16004.66,,,,,
BLLM,21,PLS 38,Pinappagan,Nueva Viscaya,II,16-17-30.35,121-39-47.03,14138.51,17369.43,,,,,
BLLM,22,PLS 38,Pinappagan,Nueva Viscaya,II,16-17-26.54,121-39-46.39,14021.64,17350.24,,,,,
BLLM,23,PLS 38,Pinappagan,Nueva Viscaya,II,16-19-06.74,121-41-12.16,17162.8,19896.33,,,,,
BLLM,24,PLS 38,Pinappagan,Nueva Viscaya,II,16-19-09.51,121-41-07.88,17186.69,19769.32,,,,,
BLLM,25,PLS 38,Pinappagan,Nueva Viscaya,II,16-18-33.43,121-40.32.19,16077.62,18710.01,,,,,
BLLM,26,PLS 38,Pinappagan,Nueva Viscaya,II,16-18-36.98,121-40.32.85,16186.65,18729.69,,,,,
BLLM,27,PLS 38,Pinappagan,Nueva Viscaya,II,16-17-30.88,121-30-57.29,16154.91,15892.75,,,,,
BLLM,28,PLS 38,Pinappagan,Nueva Viscaya,II,16-17-34.59,121-38-57.99,14269.07,15913.51,,,,,
BLLM,29,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-13.81,121-42-17.82,21007.38,21845.08,,,,,
BLLM,30,PLS 38,Pinappagan,Nueva Viscaya,II,16-21-08.59,121-42-18.25,20846.76,21858.05,,,,,
BLLM,31,PLS 38,Pinappagan,Nueva Viscaya,II,16-16-53.81,121-29-48.75,13015.4,17420.3,,,,,
BLLM,32,PLS 38,Pinappagan,Nueva Viscaya,II,16-16-57.17,121-39-49.32,13118.83,17437.24,,,,,
BLLM,33,PLS 38,Pinappagan,Nueva Viscaya,II,16-22-12.30,121-38-58.05,22805.16,15934.04,,,,,
BLLM,34,PLS 38,Pinappagan,Nueva Viscaya,II,16-22-15.83,121-38-59.34,22913.53,15954.36,,,,,
BLLM,35,PLS 38,Pinappagan,Nueva Viscaya,II,16-17-56.43,121-38-21.06,14940.24,14817.42,,,,,
BLLM,36,PLS 38,Pinappagan,Nueva Viscaya,II,16-18-00.01,121-38-20.68,15050.28,14806.32,,,,,
S,421,Cad-253,Pinappagan,Nueva Viscaya,II,,,27375.92,24697.66,,,,,
T,69,PLS 38,Pinappagan,Nueva Viscaya,II,,,23238.59,21959.36,,,,,
T,125,PLS 38,Pinappagan,Nueva Viscaya,II,,,24597.63,23369.05,,,,,
T,247,Cad-253,Pinappagan,Nueva Viscaya,II,,,23299.48,18783.94,,,,,
T,297,Cad-253,Pinappagan,Nueva Viscaya,II,,,24824.63,18657.13,,,,,
T,298,Cad-253,Pinappagan,Nueva Viscaya,II,,,24892.86,18662.76,,,,,
T,348,Cad-253,Pinappagan,Nueva Viscaya,II,,,25505.03,19563.32,,,,,
T,401,Cad-253,Pinappagan,Nueva Viscaya,II,,,24586.39,19960.9,,,,,
BBM ,2,Cad - 178,Solano,Nueva Viscaya,II,,,27785.62,20787.68,,,,,
BBM ,5,Cad - 178,Solano,Nueva Viscaya,II,,,26905.87,22118.82,,,,,
BBM ,12,Cad - 178,Solano,Nueva Viscaya,II,,,24091.03,21035.39,,,,,
BBM ,14,Cad - 178,Solano,Nueva Viscaya,II,,,22019.24,19499.29,,,,,
BBM ,23,Cad - 178,Solano,Nueva Viscaya,II,,,22693.41,22146.56,,,,,
BLLM,1,PLS - 152,SOLANO,NUEVA VISCAYA,II,16-31-11.420,121-10-37.760,20000,20000,,,,,
BLLM,9,Cad - 178,Solano,Nueva Viscaya,II,,,26707.59,21059.18,,,,,
BLLM,10,Cad - 178,Solano,Nueva Viscaya,II,,,26486.63,21061.49,,,,,
BLLM,23,PLS - 152,SOLANO,NUEVA VISCAYA,II,16-31-11.420,121-10-37.760,20442.57,27882.9,,,,,
BLLM,26,PLS - 152,SOLANO,NUEVA VISCAYA,II,16-31-11.420,121-10-37.760,16505.6,33483.3,,,,,
BLLM,27,PLS - 152,SOLANO,NUEVA VISCAYA,II,16-31-11.420,121-10-37.760,14446.56,33385.34,,,,,
MBM,4,Cad - 178,Solano,Nueva Viscaya,II,,,19794.61,18927.47,,,,,
MBM,5,Cad - 178,Solano,Nueva Viscaya,II,,,19951.93,18552.52,,,,,
MBM,6,Cad - 178,Solano,Nueva Viscaya,II,,,20106.82,18183.45,,,,,
MBM,8,Cad - 178,Solano,Nueva Viscaya,II,,,20417.47,17443.84,,,,,
MBM,9,Cad - 178,Solano,Nueva Viscaya,II,,,20564.1,17100.49,,,,,
BLLM,1,CAD-684-D,CABARROQUIS,QUIRINO,II,16-31-31.680,121-30-55.191,,,1827659.859,555010.281,,,
BLLM,2,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827312.653,555016.629,,,
BLLM,3,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825627.455,560167.271,,,
BLLM,4,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825284.283,560075.879,,,
BLLM,5,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1812981.382,555404.774,,,
BLLM,6,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1813125.463,555249.773,,,
BLLM,7,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817809.575,550808.603,,,
BLLM,8,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1817919.178,550665.497,,,
BLLM,9,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820341.27,554397.73,,,
