BLLM,1,Cad 133,ROXAS CITY,CAPIZ,VI,11-35-02.30,122-45-08.08,20000.00,20000.00,1280930.953,472979.034,,,
BLLM,2,Cad 133,ROXAS CITY,CAPIZ,VI,,,20057.26,19812.26,1280988.264,472791.252,,,
BLLM,1,Cad 133,ROXAS CITY,CAPIZ,VI,,,12070.24,21228.13,1723000.578,474200.356,,,
BLLM,2,Cad 133,ROXAS CITY,CAPIZ,VI,,,12312.21,21332.86,1273242.598,474305.404,,,
MBM,1,Cad 133,ROXAS CITY,CAPIZ,VI,11-36-28.70,122-47-59.24,22654.73,25185.14,1283581.468,478166.261,,,
MBM,2,Cad 133,ROXAS CITY,CAPIZ,VI,,,,,,,,,
MBM,3,Cad 133,ROXAS CITY,CAPIZ,VI,,,19513.23,24159.20,1280440.946,477137.631,,,
MBM,4,Cad 133,ROXAS CITY,CAPIZ,VI,,,19012.73,23855.90,1279940.671,476833.998,,,
MBM,5,Cad 133,ROXAS CITY,CAPIZ,VI,,,17736.34,22634.51,1278665.315,475611.449,,,
MBM,6,Cad 133,ROXAS CITY,CAPIZ,VI,,,16994.08,22182.02,1277923.372,475158.515,,,
MBM,7,Cad 133,ROXAS CITY,CAPIZ,VI,,,16221.70,21715.29,1277151.338,474690.991,,,
MBM,8,Cad 133,ROXAS CITY,CAPIZ,VI,,,10785.31,21316.24,1271715.619,474287.484,,,
MBM,9,Cad 133,ROXAS CITY,CAPIZ,VI,,,10460.87,21533.24,1271390.994,474504.199,,,
MBM,10,Cad 133,ROXAS CITY,CAPIZ,VI,,,9790.72,21840.20,1270720.651,474810.648,,,
MBM,11,Cad 133,ROXAS CITY,CAPIZ,VI,,,9584.21,20999.32,1270514.871,473969.504,,,
MBM,12,Cad 133,ROXAS CITY,CAPIZ,VI,,,8997.04,19725.24,1269928.814,472694.644,,,
MBM,13,Cad 133,ROXAS CITY,CAPIZ,VI,,,8536.35,19536.32,,,,,
MBM,14,Cad 133,ROXAS CITY,CAPIZ,VI,,,8400.60,18721.07,1269344.407,471689.772,,,
MBM,15,Cad 133,ROXAS CITY,CAPIZ,VI,,,8727.43,17096.25,1269661.759,470065.026,,,
MBM,16,Cad 133,ROXAS CITY,CAPIZ,VI,,,9182.94,16901.75,1270117.279,469870.895,,,
MBM,17,Cad 133,ROXAS CITY,CAPIZ,VI,,,10416.90,16665.45,,,,,
MBM,18,Cad 133,ROXAS CITY,CAPIZ,VI,,,10292.35,17170.96,1271226.475,470141.372,,,
MBM,19,Cad 133,ROXAS CITY,CAPIZ,VI,,,12169.16,17740.34,1273102.579,470712.252,,,
MBM,20,Cad 133,ROXAS CITY,CAPIZ,VI,,,12578.25,17850.79,1273511.415,470823.239,,,
MBM,21,Cad 133,ROXAS CITY,CAPIZ,VI,,,13634.94,17047.43,1274568.785,470202.927,,,
MBM,22,Cad 133,ROXAS CITY,CAPIZ,VI,,,13983.38,16760.16,1274917.476,469733.701,,,
MBM,23,Cad 133,ROXAS CITY,CAPIZ,VI,,,15342.26,15535.96,1276277.627,468510.591,,,
MBM,24,Cad 133,ROXAS CITY,CAPIZ,VI,,,15076.07,15257.51,1276011.835,468231.863,,,
MBM,25,Cad 133,ROXAS CITY,CAPIZ,VI,,,15717.49,14727.07,1276653.598,467701.967,,,
