Tri. Sta.,,33,ANGELES,PAMPANGA,3,15-10-15.65,120-26-52.7,,,1677800.188,440677.964,,,"(Catuno , Top-of the World)"
BBM,40,CAD-94,ANGELES,PAMPANGA,3,15-09-14.58,120-34-47.29,21993.31,18962.03,1675891.675,454841.46,,,
BBM,41,CAD-94,ANGELES,PAMPANGA,3,15-09-28.09,120-34-48.51,22408.77,18998.45,1676307.062,454878.647,,,
BBM,42,CAD-94,ANGELES,PAMPANGA,3,15-09-38.84,120-34-39.15,22738.91,18718.94,1676637.709,454599.772,,,
BBM,43,CAD-94,ANGELES,PAMPANGA,3,15-09-38.64,120-34-20.76,22732.83,18169.89,1676632.658,454050.717,,,
BBM,44,CAD-94,ANGELES,PAMPANGA,3,15-09-50.83,120-34-06.53,23107.47,17745.07,1677008.01,453626.626,,,
BBM,45,CAD-94,ANGELES,PAMPANGA,3,15-08-38.26,120-34-28.93,23335.97,18413.9,1677235.331,454295.841,,,
BBM,46,CAD-94,ANGELES,PAMPANGA,3,15-08-36.82,120-33-04.39,20832.92,15889.59,1674737.075,451766.911,,,
BBM,47,CAD-94,ANGELES,PAMPANGA,3,15-09-04.14,120-33-20.34,21672.54,16366.15,1675575.781,452245.036,,,
BBM,48,CAD-94,ANGELES,PAMPANGA,3,15-09-25.59,120-33-30.93,22331.92,16682.31,1676234.565,452562.425,,,
BBM,49,CAD-94,ANGELES,PAMPANGA,3,15-09-30.50,120-33-38.79,22482.56,16916.92,1676384.749,452797.312,,,
BBM,50,CAD-94,ANGELES,PAMPANGA,3,15-09-36.66,120-32-11.03,22671.94,14296.85,1676579.037,450177.656,,,
BBM,51,CAD-94,ANGELES,PAMPANGA,3,15-10-14.39,120-33-00.64,23831.75,15777.88,1677736.057,451660.843,,,
BLLM,1,CAD-94,ANGELES,PAMPANGA,3,15-08-09.72,120-35-22.06,20000,20000,1673896.482,455875.666,,,
BLLM,2,CAD-94,ANGELES,PAMPANGA,3,15-08-11.36,120-35-19.56,20050.35,19938.74,1673946.938,455814.496,,,
BLLM,3,CAD-94,ANGELES,PAMPANGA,3,15-08-33.26,120-37-32.18,20723.61,23884.96,1674612.814,459761.871,,,
BLLM,4,CAD-94,ANGELES,PAMPANGA,3,15-08-34.27,120-37-35.68,20754.58,23989.35,1674643.585,459866.295,,,
BLLM,5,CAD-94,ANGELES,PAMPANGA,3,15-09-35.47,120-3743.85,22635.33,24233.25,1676523.811,460113.72,,,
BLLM,6,CAD-94,ANGELES,PAMPANGA,3,15-09-37.11,120-37-41.34,22685.75,24158.11,1676574.373,460038.668,,,
MBM,1,CAD-94,ANGELES,PAMPANGA,3,15-07-27.61,120-35-53.82,18705.92,20948.25,1672600.663,456821.455,,,
MBM,2,CAD-94,ANGELES,PAMPANGA,3,15-07-26.78,120-35-51.28,18680.16,20872.42,1672575.047,456745.601,,,
MBM,3,CAD-94,ANGELES,PAMPANGA,3,15-07-06.26,120-35-37.54,18049.64,20462.17,1671945.306,456334.164,,,
MBM,4,CAD-94,ANGELES,PAMPANGA,3,15-06-47.29,120-35-30.60,17466.64,20254.89,1671362.706,456125.805,,,
MBM,5,CAD-94,ANGELES,PAMPANGA,3,15-06-40.77,120-35-27.15,17266.14,20151.84,1671162.423,456022.389,,,
MBM,6,CAD-94,ANGELES,PAMPANGA,3,15-07-04.08,120-34-50.05,17982.53,19044.2,1671880.848,454916.129,,,
MBM,7,CAD-94,ANGELES,PAMPANGA,3,15-07-20.84,120-35-09.99,18497.74,19639.66,1672394.935,455512.534,,,
MBM,8,CAD-94,ANGELES,PAMPANGA,3,15-07-32.16,120-34-49.64,18845.75,19032.08,1672744.084,454905.625,,,
MBM,9,CAD-94,ANGELES,PAMPANGA,3,15-07-48.84,120-34-22.98,19358.21,18235.92,1673258.008,454110.419,,,
MBM,10,CAD-94,ANGELES,PAMPANGA,3,15-08-13.03,120-33-35.21,20101.71,16809.87,1674004.149,452685.808,,,
MBM,11,CAD-94,ANGELES,PAMPANGA,3,15-08-27.50,120-32-50.87,20546.43,15485.85,1674451.344,451362.653,,,
MBM,12,CAD-94,ANGELES,PAMPANGA,3,15-08-27.72,120-32.30.45,20553.34,14876.3,1674459.402,450753.114,,,
MBM,13,CAD-94,ANGELES,PAMPANGA,3,15-08-52.31,120-31-48.23,21309.06,13616.08,1675217.473,449494.334,,,
MBM,14,CAD-94,ANGELES,PAMPANGA,3,15-09-03.13,120-31-57.14,21641.42,13882.26,1675549.321,449761.134,,,
MBM,15,CAD-94,ANGELES,PAMPANGA,3,15-09-29.26,120-30-02.88,22444.65,10470.76,1676358.907,446351.226,,,
MBM,16,CAD-94,ANGELES,PAMPANGA,3,15-09-17.39,120-29-57.64,22079.89,10314.56,1675994.451,446194.321,,,
MBM,17,CAD-94,ANGELES,PAMPANGA,3,15-10-16.73,120-31.30.22,23903.41,13078.5,1677812.754,448961.655,,,
MBM,18,CAD-94,ANGELES,PAMPANGA,3,15-10-22.39,120-31-20.01,24077.62,13669.15,1677985.864,449552.601,,,
MBM,19,CAD-94,ANGELES,PAMPANGA,3,15-10-29.14,130-32-33.99,24284.89,14982.16,1678190.661,450865.99,,,
MBM,20,CAD-94,ANGELES,PAMPANGA,3,15-10-38.93,120-33-37.87,24585.93,16889.27,1678488.129,452773.621,,,
MBM,21,CAD-94,ANGELES,PAMPANGA,3,15-10-09.34,120-33-51.32,23676.48,17290.89,1677577.946,453173.502,,,
MBM,22,CAD-94,ANGELES,PAMPANGA,3,15-10-18.65,120-34-53.15,23962.57,19137.01,1677860.567,455020.133,,,
MBM,23,CAD-94,ANGELES,PAMPANGA,3,15-10-22.79,120-35-14-95,24089.66,19787.75,1677986.416,455671.089,,,
MBM,24,CAD-94,ANGELES,PAMPANGA,3,15-10-24.79,120-35-24.96,24151.15,20086.63,1678047.352,455970.067,,,
