TRI. STA.,,CUT,AGDANGAN,QUEZON,REGION IV-A,13-52-46.100,121-52-54.860,,,,,,,"TO STATIONS = ANT, HILL"
BLBM,2,MASCARIÑAS,ALABAT,QUEZON,REGION IV-A,,,16193.68,27993.73,1555892.83,620769.53,,,
BLBM,2,PINAGTUBIGAN,ALABAT,QUEZON,REGION IV-A,,,26784.45,13133.44,1566418.621,605860.737,,,BARRIO AT PRESENT SANGERIN
BLBM,2,,ALABAT,QUEZON,REGION IV-A,,,14056.6,29774.14,,,,,APAD
BLBM,2,,ALABAT,QUEZON,REGION IV-A,,,23465.52,19460.29,,,,,CAGLATE
BLBM,2,,ALABAT,QUEZON,REGION IV-A,,,16193.68,27993.73,,,,,MASACARIÑAS
BLBM,2,,ALABAT,QUEZON,REGION IV-A,,,26784.45,13133.44,,,,,PINAGTUBIGAN
BLBM,,ALABAT CH. CROSS,ALABAT,QUEZON,REGION IV-A,,,20041.05,19983.11,1559705.045,612740.954,,,
BLLM,1,CAD 872-D,ALABAT,QUEZON,REGION IV-A,14-06-04.414,122-00-41.387,,,1559606.038,609228.991,,,
BLLM,1,,ALABAT,QUEZON,REGION IV-A,14-06-05.800,122-00-39.103,20000,20000,,,,,
BLLM,1,,ALABAT,QUEZON,REGION IV-A,14-06-05.80,122-02-39.03,20000,20000,1559664.066,612758.028,,,
BLLM,2,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559771.468,609127.88,,,
BLLM,2,,ALABAT,QUEZON,REGION IV-A,,,20073.07,19961.45,,,,,
BLLM,2,,ALABAT,QUEZON,REGION IV-A,,,20073.07,19961.45,1559736.972,612719.15,,,
BLLM,3,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562134.592,606929.604,,,
BLLM,4,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562796.829,607139.739,,,
BLLM,5,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565795.968,608711.312,,,
BLLM,6,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565874.947,608777.256,,,
BLLM,7,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563672.347,612885.98,,,
BLLM,8,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563345.262,613189.275,,,
BLLM,9,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559691.67,615355.129,,,
