BLLM,1,Anao,ANAO,Tarlac,3,15-43-48.510,120-37-30.410,20000,20000,1739623.718,459822.098,,,
BLLM,2,Anao,ANAO,Tarlac,3,,,20196.49,19976.05,1739820.244,459798.497,,,
BLBM,,BLLM-PIER,ANAO,Tarlac,3,,,19561.46,20337.01,1739184.594,460158.319,,,For new data see Cad. 138
BBM ,1,CAD 138,ANAO,Tarlac,3,,,19030.88,18596.46,1738657.118,458416.882,,,San Francisco & San Jose 
BBM ,2,CAD 138,ANAO,Tarlac,3,,,19771.3,18561.88,1739397.576,458383.617,,,San Francisco & San Jose 
BBM ,3,CAD 138,ANAO,Tarlac,3,,,20965.8,17962.34,1740593.103,457786.213,,,San Francisco & San Jose 
BBM ,4,CAD 138,ANAO,Tarlac,3,,,19503.38,19191.43,1739128.548,459012.672,,,San Francisco & Poblacion
BBM ,5,CAD 138,ANAO,Tarlac,3,,,18894.14,19545.29,1738518.699,459365.441,,,San Francisco & Poblacion
BLLM,1,CAD 138,ANAO,Tarlac,3,15-43-48.51,120-37-30.41,20000,20000,1739623.718,459822.098,,,
BLLM,2,CAD 138,ANAO,Tarlac,3,,,20196.572,19975.955,1739820.326,459798.402,,,
MBM,1,CAD 138,ANAO,Tarlac,3,,,17717.152,17237.506,1737345.839,457055.638,,,
MBM,2,CAD 138,ANAO,Tarlac,3,,,18732.296,16832.879,1738361.67,456652.823,,,
MBM,3,CAD 138,ANAO,Tarlac,3,,,19063.849,16876.526,1738693.136,456697.057,,,
MBM,4,CAD 138,ANAO,Tarlac,3,,,19299.298,16783.507,1738928.742,456604.459,,,
MBM,5,CAD 138,ANAO,Tarlac,3,,,19822.056,16979.28,1739451.138,456801.153,,,
MBM,6,CAD 138,ANAO,Tarlac,3,,,20860.358,17418.091,1740478.63,457241.776,,,
MBM,7,CAD 138,ANAO,Tarlac,3,,,22105.071,17488.14,1741733.181,457314.048,,,
MBM,8,CAD 138,ANAO,Tarlac,3,,,22508.694,16865.59,1742137.896,456692.232,,,
MBM,9,CAD 138,ANAO,Tarlac,3,,,23380.62,17013.467,1743009.534,456841.651,,,
MBM,10,CAD 138,ANAO,Tarlac,3,,,23560.282,16798.133,1743189.573,456626.642,,,
MBM,11,CAD 138,ANAO,Tarlac,3,,,24305.171,16534.305,1743934.908,456364.143,,,
MBM,12,CAD 138,ANAO,Tarlac,3,,,24990.592,17059.195,1744619.376,456890.234,,,
MBM,13,CAD 138,ANAO,Tarlac,3,,,17898.209,17822.209,1737525.854,457640.645,,,Paniqui Towns & Anao
BLBM,,,ANAO,Tarlac,3,,,20291.99,20181.59,1739915.377,460004.2,,,
BLLM,1,Bamban,BAMBAN,Tarlac,3,15-16-24.820,120-33-55.460,20000,20000,1689117.77,453320.426,,,
BLLM,2,Bamban,BAMBAN,Tarlac,3,,,20390.34,20088.42,1689507.924,453409.624,,,
BLBM,1,Banban-(Reset),BAMBAN,Tarlac,3,,,20000,20000,,,,,
BLBM,2,Banban-(Reset),BAMBAN,Tarlac,3,,,20390.34,20088.42,1689507.924,453409.624,,,OLD Northing
BLBM,1,Bangcu,BAMBAN,Tarlac,3,,,21047.78,23969.59,1690157.59,457292.001,,,
BLBM,2,Bangcu,BAMBAN,Tarlac,3,,,20943.53,23771.01,1690053.74,457093.219,,,
BLLM,1,CAD-382-D,BAMBAN,Tarlac,3,15-17-53.251,120-34-26.076,,,1691833.783,454239.225,,,"either 15-43-12.92  ,  120-28-48.98"
BLLM,2,CAD-382-D,BAMBAN,Tarlac,3,,,,,1691809.865,453976.695,,,
BLLM,3,CAD-382-D,BAMBAN,Tarlac,3,,,,,1693972.023,457454.577,,,
BLLM,4,CAD-382-D,BAMBAN,Tarlac,3,,,,,1693793.06,457396.907,,,
BLLM,5,CAD-382-D,BAMBAN,Tarlac,3,,,,,1690498.966,457937.355,,,
BLLM,6,CAD-382-D,BAMBAN,Tarlac,3,,,,,1690367.276,457695.289,,,
BLLM,7,CAD-382-D,BAMBAN,Tarlac,3,,,,,1688790.061,454478.073,,,
BLLM,8,CAD-382-D,BAMBAN,Tarlac,3,,,,,1688709.408,454225.487,,,
