BLLM ,34,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,21926.67,16052.95,,,,,
BLLM ,35,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20371.91,18574.46,,,,,
BLLM ,36,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,20417.60,18374.84,,,,,
BLLM ,37,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,23477.47,20915.51,,,,,
BLLM ,38,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,23168.29,21035.22,,,,,
BLLM ,39,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,25234.69,21056.53,,,,,
BLLM ,40,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,25316.60,20898.35,,,,,
BLLM ,41,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,29981.23,22686.12,,,,,
BLLM ,42,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,29874.00,22755.17,,,,,
BLLM ,43,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,26896.64,22600.57,,,,,
BLLM ,44,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,28673.63,22775.86,,,,,
BLLM ,45,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,25060.04,23096.85,,,,,
BLLM ,46,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,24873.46,22905.88,,,,,
BLLM ,47,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,28333.19,21534.96,,,,,
BLLM ,48,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,28586.68,21721.40,,,,,
BLLM ,49,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,28608.12,17208.76,,,,,
BLLM ,50,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,28840.59,17583.67,,,,,
BLLM ,51,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,31080.28,15732.16,,,,,
BLLM ,52,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,31198.35,15967.53,,,,,
BLLM ,53,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,7944.52,12482.70,,,,,
BLLM ,54,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,7844.35,12508.20,,,,,
BLLM ,55,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,7013.93,15745.35,,,,,
BLLM ,56,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,6988.63,16100.44,,,,,
BLLM ,57,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,4885.73,19094.70,,,,,
BLLM ,58,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,4805.33,19170.28,,,,,
BLLM ,59,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,8375.71,22842.73,,,,,
BLLM ,60,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,8466.17,23000.64,,,,,
BLLM ,61,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,7558.05,21110.42,,,,,
BLLM ,62,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,7818.81,21056.34,,,,,
BLLM ,63,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,30641.91,19908.73,,,,,
BLLM ,64,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,30835.52,20634.39,,,,,
BBM,1,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19336.06,15251.55,,,,,
BBM,2,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19834.00,15991.68,,,,,
BBM,3,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19416.52,16537.72,,,,,
BBM,4,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,18402.92,15776.02,,,,,
BBM,5,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19430.56,16930.25,,,,,
BBM,6,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,18494.82,17199.19,,,,,
BBM,7,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,27119.75,20593.13,,,,,
BBM,8,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,22693.95,30102.23,,,,,
BBM,9,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,16329.86,27460.32,,,,,
BBM,10,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,21760.01,19133.31,,,,,
BBM,11,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,31218.71,22354.53,,,,,
BLLM ,1,TS 99,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,12-21-37.833,121-06-07.535,20000.00,20000.00,,,,,
BLLM ,65,TS 99,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19402.71,16172.34,,,,,
BLLM ,66,TS 99,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,19304.26,16190.67,,,,,
BLLM ,1,PLS 318,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,12-21-37.833,121-06-07.535,30000.00,30000.00,,,,,
BLLM ,1,PLS 22,STA CRUZ,OCCIDENTAL MINDORO,REGION IV-B,13-04-35.959,120-43-11.554,30000.00,30000.00,,,,,
BLLM ,18,PLS 22,STA CRUZ,OCCIDENTAL MINDORO,REGION IV-B,,,19619.98,15355.13,,,,,
BLLM ,37,PLS 22,STA CRUZ,OCCIDENTAL MINDORO,REGION IV-B,,,17814.80,8405.25,,,,,
Tria. STA.(29th Engrs.) ,Cabra L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-53-24.352,120-01-18.954,,,,,,,
Tria. STA.(29th Engrs.) ,Arbac,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-53-44.017,120-02-47.570,,,,,,,
Tria. STA.(29th Engrs.) ,Lubang,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-49-17.650,120-13-16.676,,,,,,,
Tria. STA.(29th Engrs.) ,Ambil,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-47-23.446,120-19-45.757,,,,,,,
Tria. STA.(29th Engrs.) ,Tumbaga,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-44-10.631,120-17-10.299,,,,,,,
Tria. STA.(29th Engrs.) ,Malavatuan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-51-53.123,120-20-39.547,,,,,,,
Tria. STA.(29th Engrs.) ,Cape Santiago L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-46-24.058,120-39-06.126,,,,,,,
Tria. STA.(29th Engrs.) ,Bin,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-28-40.174,120-18-41.222,,,,,,,
Tria. STA.(29th Engrs.) ,Cape Cavite L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-26-51.324,120-17-54.222,,,,,,,
Tria. STA.(29th Engrs.) ,Calavite RM,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-28-59.786,120-24-08.106,,,,,,,
Tria. STA.(29th Engrs.) ,Baeto,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-29-38.164,120-39-12.-958,,,,,,,
Tria. STA.(29th Engrs.) ,Porta,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-30-42.849,120-54-47.502,,,,,,,
Tria. STA.(29th Engrs.) ,Sta. Puerto Galera L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-30-13.013,120-57-13.411,,,,,,,
Tria. STA.(29th Engrs.) ,Tangalan L.H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-30-50.857,120-57-35.152,,,,,,,
Tria. STA.(29th Engrs.) ,Escarceo L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-31-22.532,120-59-27.349,,,,,,,
Tria. STA.(29th Engrs.) ,Varadero,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-30-38.603,120-58-29.317,,,,,,,
Tria. STA.(29th Engrs.) ,Boayan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-29-59.193,120-57-59.228,,,,,,,
Tria. STA.(29th Engrs.) ,Malabrigo L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-36-00.463,121-15-39.796,,,,,,,
